id,usuario_id,numero_cuenta,tipo_cuenta,saldo
1,10,ES7739637164360193114526,ahorro,"66755,89"
2,10,ES1316574526906275603407,empresa,"95837,31"
3,3,ES5865885769854836821457,nómina,"42972,24"
4,4,ES5167158907887819348998,ahorro,"899,28"
5,1,ES4649322614789355112278,nómina,"88410,84"
6,7,ES3776053882359796142129,nómina,"57123,89"
7,10,ES3589304802518096040624,nómina,"2735,54"
8,5,ES4706642735303899284832,nómina,"89725,93"
9,6,ES7057495976950127365948,empresa,"30889,92"
10,8,ES1590931737415265091113,empresa,"67986,02"
11,55,ES9506928970911750938643,nómina,"2650,97"
12,48,ES2660575520121867079232,nómina,"93496,94"
13,79,ES8020082342845182057426,empresa,"46825,78"
14,18,ES3483602057733513501420,ahorro,"76928,22"
15,91,ES5307640897891130242184,ahorro,"96722,16"
16,9,ES7726893364607897494313,nómina,"50301,12"
17,80,ES5906094042128224548896,nómina,"47353,71"
18,65,ES8417322597588579729645,ahorro,"34282,94"
19,227,ES8234010595541834282654,nómina,"89179,49"
20,76,ES1297622222879982837424,nómina,"2700,81"
21,1761,ES6605981313777669920646,nómina,"70241,33"
22,4856,ES1415528415837346903193,empresa,"43682,82"
23,10942,ES6376150978684857720057,nómina,"50826,39"
24,10947,ES4111067424623634483578,ahorro,"40569,42"
25,87,ES2475536633859491707917,nómina,"654,4"
26,11473,ES8175791649290247349491,empresa,"50718,55"
27,823,ES6110393882537462972932,empresa,"1203,8"
28,4173,ES6338904478621417511788,ahorro,"86998,83"
29,3375,ES8494086423596760805238,empresa,"76893,24"
30,510,ES4061340535156654664679,nómina,"92829,44"
31,11781,ES3331453405048422893605,ahorro,"35581,2"
32,7526,ES7780340915170145463523,ahorro,"36438,76"
33,8405,ES7196629926181712385296,nómina,"87487,34"
34,12327,ES4203459199869473064352,empresa,"31623,86"
35,9452,ES6843566062063054635072,ahorro,"54704,83"
36,3245,ES9129199465389411941668,nómina,"28657,03"
37,12254,ES4414983739767306019215,nómina,"28406,91"
38,1851,ES1437805318288149550359,ahorro,"68244,5"
39,10402,ES8989612918968479215815,ahorro,"66292,91"
40,411,ES8699787871681711829417,ahorro,"60075,78"
41,8539,ES9490705728515169381785,empresa,"90412,15"
42,5566,ES6044155051889767120261,ahorro,"94581,97"
43,9053,ES9786352634208460615682,empresa,"82927,51"
44,11792,ES4020982375092490753535,empresa,"38347,12"
45,12197,ES5101547304408265772330,empresa,"16856,57"
46,4072,ES3928542077894026120206,ahorro,"76299,82"
47,7987,ES7975830008980648279798,ahorro,"84609,49"
48,11327,ES9310049914068057494543,nómina,"34471,11"
49,7380,ES6678475575648223614791,nómina,"26073,32"
50,5027,ES5327398482573652376058,ahorro,"81163,18"
51,2685,ES7058788733579664546112,ahorro,"18182,73"
52,7295,ES5940027226749847050488,empresa,"52000,78"
53,11661,ES1801460015133470130732,ahorro,"15611,2"
54,3458,ES4139668799048640091610,empresa,"7113,46"
55,9501,ES5917233561712704942982,ahorro,"60631,62"
56,8699,ES2800930366083639168800,empresa,"89997,28"
57,8476,ES4178754362601466893073,nómina,"18856,6"
58,8573,ES8197019107575856985159,empresa,"41234,09"
59,2030,ES6587660253510186793659,empresa,"57271,9"
60,6454,ES6179556345631832870546,nómina,"65811,16"
61,9810,ES4761187081347862221520,empresa,"53797,36"
62,8500,ES3609539174501863374755,nómina,"78432,93"
63,335,ES6022342756222250768816,empresa,"70500,44"
64,11118,ES3460954417309210176969,ahorro,"31583,2"
65,7059,ES4279045118353411072102,empresa,"30293,18"
66,10158,ES2787199948774578540898,ahorro,"17151,45"
67,10396,ES6483651531682333369125,nómina,"40294,26"
68,3910,ES4620120409462585799056,nómina,"4339,23"
69,11309,ES5406247867679187127029,empresa,"93378,09"
70,7500,ES4067505841447788706155,empresa,"37627,23"
71,6848,ES3189761394441353314261,ahorro,"35782,86"
72,1104,ES6502955042078970814270,empresa,"60667,95"
73,625,ES4052715519797733266546,empresa,"21451,33"
74,12067,ES1307322247508745166971,empresa,"62386,12"
75,5918,ES3454477053205739608197,nómina,"4170,77"
76,440,ES2057633267426571857375,ahorro,"50987,08"
77,5629,ES1573283739937585315846,ahorro,"703,52"
78,10518,ES5317576033541598443572,ahorro,"68895,92"
79,1445,ES9810988957886258824119,ahorro,"6516,71"
80,7527,ES3661905174375597211239,empresa,"58651,63"
81,6571,ES3611174782167678402781,empresa,"14594,65"
82,5373,ES6856535057493687142371,nómina,"59667,68"
83,4606,ES5744039533876921309670,nómina,"4633,56"
84,7089,ES5929431357170893370968,nómina,"91245,47"
85,9570,ES2130463825881880073418,empresa,"64382,03"
86,1122,ES2226610111837601205004,empresa,"36761,82"
87,9371,ES4394612173379960797206,nómina,"3985,03"
88,11086,ES2476255656655205683006,empresa,"83145,44"
89,3414,ES6125608445004170183350,ahorro,"10991,51"
90,2168,ES1515689822028509665347,empresa,"69494,54"
91,1337,ES5749712098867301716260,ahorro,"61631,98"
92,4100,ES4553959723376495753871,empresa,"83733,48"
93,6097,ES1341318759122995750532,nómina,"78756,11"
94,2861,ES9824062167032290705749,ahorro,"27260,73"
95,10913,ES1728995510615311641844,ahorro,"3204,69"
96,4994,ES3119343983201181752802,ahorro,"34701,76"
97,5720,ES6864009598100015153730,empresa,"97650,48"
98,9890,ES9708154018439989176982,empresa,4220
99,2456,ES7328974101661649938919,nómina,"66136,34"
100,7617,ES3339722594579829663791,nómina,"83579,55"
101,99,ES3270815814162561440908,ahorro,"3305,48"
102,8858,ES3651641057593190476825,nómina,"9076,44"
103,5490,ES4818645794084783912151,empresa,"23561,98"
104,3201,ES2169412903197248009876,empresa,"59534,9"
105,11380,ES9952688832248170214008,nómina,"29959,61"
106,7975,ES2959070567348324821769,ahorro,"8809,17"
107,3221,ES3257438673265144796288,nómina,"2532,97"
108,5072,ES6969036496272832873050,ahorro,"40206,03"
109,12176,ES7927900651536410967849,ahorro,"50737,67"
110,7395,ES5156649768478100042796,ahorro,"64989,89"
111,786,ES8360848415243366882862,empresa,"5943,58"
112,836,ES8891148384778839985447,ahorro,"45769,8"
113,11694,ES1933180128318612174781,nómina,"24332,74"
114,7932,ES3490214134097952886959,empresa,"68438,88"
115,2090,ES4549674659449471963461,empresa,"96094,59"
116,9033,ES3888971251207898985879,nómina,"85048,73"
117,311,ES9989600015245669443250,ahorro,"52728,28"
118,6968,ES5575245523380752561379,empresa,"82758,02"
119,2893,ES8367454006806022138065,nómina,"80564,05"
120,8265,ES5056396819197092252552,empresa,"96143,19"
121,2646,ES8368488401224515562965,empresa,"46784,93"
122,10423,ES7710928284546562071851,nómina,"41093,19"
123,2099,ES8560760688808234323451,empresa,"51882,83"
124,10998,ES3434759806872186846265,nómina,"43776,59"
125,8373,ES8393759622246114509119,empresa,"58499,46"
126,3654,ES9297377950594709878712,empresa,"9553,31"
127,1293,ES1060254056457021767354,nómina,"47768,17"
128,5915,ES7922401112182437776296,nómina,"77824,44"
129,6150,ES5045378471442104685345,ahorro,"69969,09"
130,2463,ES5409263078506186937748,ahorro,"77746,96"
131,7437,ES7733547237193790216666,ahorro,"79708,6"
132,8732,ES1029518468770199749839,ahorro,"24752,42"
133,11226,ES5105721319867377798387,ahorro,"36694,96"
134,5253,ES5392290450004996567808,ahorro,"2759,46"
135,9563,ES4138124464033723992633,empresa,"93138,45"
136,7959,ES2276185565041770534637,ahorro,"993,35"
137,4635,ES8565003652262862539456,empresa,"90383,26"
138,3367,ES1923260065626096040345,empresa,"81885,4"
139,6602,ES8766794348271688045435,ahorro,"50552,21"
140,3705,ES6506508782602814653482,ahorro,"75721,13"
141,2449,ES8838584511946297069061,empresa,"83466,16"
142,9399,ES2712889003118450552806,ahorro,"64502,31"
143,5998,ES1588218747348162573373,ahorro,"65274,9"
144,1948,ES7068231994323076977725,empresa,"84265,25"
145,1748,ES5751766689368007404528,nómina,"48860,36"
146,3508,ES5944607403057257398695,ahorro,"13901,27"
147,1991,ES8095160359785311765354,empresa,"45820,7"
148,8458,ES5154261022784764527559,nómina,"65952,72"
149,49,ES9131444038038533768007,empresa,"20477,04"
150,8309,ES6630188920834761029366,nómina,"85461,07"
151,2596,ES3955369227971352029716,empresa,"94359,02"
152,4017,ES6226912112672612178451,empresa,"85516,9"
153,9993,ES2516640813072689196435,empresa,"47902,91"
154,2631,ES9085679575241568818467,nómina,"35597,52"
155,10854,ES2216375496793930793393,ahorro,"35763,99"
156,7630,ES3749541370177525993689,nómina,"67917,05"
157,8668,ES6937562120094828503974,ahorro,"17792,52"
158,7698,ES3485612390464201878981,empresa,"99200,02"
159,10349,ES9387673721234556337290,nómina,"94443,02"
160,12320,ES2135998466097138135148,ahorro,"27371,43"
161,1972,ES2306927650229976775569,empresa,"80475,5"
162,3508,ES8460442815058270500099,empresa,"55695,41"
163,9135,ES5589895793538433786683,empresa,"95359,97"
164,10997,ES4082966300213922312906,nómina,"23689,57"
165,4315,ES7589473493937179000162,empresa,"59255,77"
166,8686,ES8608826869586039992318,ahorro,"96551,56"
167,10720,ES2696392213639452020163,nómina,"19731,79"
168,3990,ES4337926393184561069767,empresa,"78217,02"
169,2131,ES2259902961764923703111,nómina,"94965,44"
170,8315,ES9985593056967295131967,ahorro,"45218,23"
171,4472,ES3681857359460593155724,nómina,"38319,18"
172,3133,ES7540050383803020134935,empresa,"77353,86"
173,11057,ES2557044398266309329262,nómina,"54985,46"
174,5700,ES4539801495703181533282,nómina,"61129,25"
175,9537,ES2945484904395726577563,ahorro,"94113,92"
176,500,ES3929668708217516305538,empresa,"45765,01"
177,5451,ES1423122437898871607949,ahorro,"55529,05"
178,7510,ES2648408194234188867261,empresa,"18590,94"
179,7373,ES8794359431454321994909,empresa,"25574,48"
180,3083,ES4548279691728857213943,ahorro,"58221,15"
181,586,ES5439142460216299242080,empresa,"83432,67"
182,8316,ES1120959024654219014111,nómina,"37263,79"
183,8736,ES7156894110197036412571,empresa,"67806,98"
184,2262,ES3819451194857151430482,empresa,"84206,44"
185,8558,ES3189748321169799695913,ahorro,"86839,57"
186,4223,ES6888278730538681913789,ahorro,"77986,32"
187,11951,ES3587290803451935468345,ahorro,"63671,71"
188,9406,ES8401775631607188136815,ahorro,"53887,06"
189,5509,ES3978655306850403354484,ahorro,"73741,04"
190,11776,ES2140120165962556445365,empresa,"81201,53"
191,3287,ES5844853576354950442957,nómina,"95562,26"
192,4311,ES2099621699175300742826,ahorro,"72092,9"
193,6117,ES7860480868260833286607,nómina,"56856,08"
194,4256,ES9048225829067625758888,nómina,"61741,8"
195,7180,ES4413789474043079176719,nómina,"58048,36"
196,1117,ES8697636565604755892138,nómina,"43963,52"
197,1215,ES1680337098747068004530,nómina,"61771,29"
198,5982,ES5242257383455095908837,empresa,"51596,88"
199,2306,ES9569767906777266168600,nómina,"4370,92"
200,3228,ES9612334692142931829849,nómina,"90311,6"
201,11006,ES4910692738779596285361,ahorro,"34974,33"
202,2692,ES1396581335102536124439,ahorro,"65939,66"
203,4339,ES4065991493153302416496,ahorro,"51174,57"
204,6725,ES8478558273459124494737,empresa,"78790,63"
205,1206,ES8803158268116409712585,nómina,"76381,68"
206,9543,ES8097125352683857293028,empresa,"6298,68"
207,10296,ES5726796606509376727999,empresa,"85995,3"
208,4818,ES9663452047865059733168,ahorro,"20981,45"
209,9651,ES5670187560743445493197,nómina,"97321,7"
210,8855,ES4120710117562962033316,nómina,"97647,24"
211,12280,ES3110027119529513217408,ahorro,"83607,56"
212,7348,ES2986720706532645032852,empresa,"29821,84"
213,5521,ES4139688440041659988128,nómina,"48631,3"
214,10878,ES2676145351704421583676,nómina,"31676,42"
215,524,ES8349412988623334968133,ahorro,"42202,4"
216,11628,ES9341682557401538062599,nómina,"49213,59"
217,4906,ES7352175161901223548373,empresa,"84299,47"
218,6482,ES3061161787015633140354,ahorro,"97766,48"
219,8459,ES4471112553214465965185,empresa,"45331,02"
220,8416,ES8732197547571513894948,nómina,"69874,98"
221,5083,ES1479963720909884712629,empresa,"78673,37"
222,7498,ES6948366818984572358053,ahorro,"36191,87"
223,9777,ES1566132034194260982084,empresa,"43617,78"
224,9815,ES9607132317547935813259,nómina,"32336,6"
225,5893,ES5942381032368886799580,empresa,"1539,58"
226,896,ES5764017557057867883302,empresa,"36866,36"
227,110,ES6954869782456556588582,ahorro,"47991,2"
228,5573,ES1574359999641043299744,ahorro,"24692,72"
229,10082,ES9287518363261710555157,ahorro,58960
230,3246,ES7253933894262003357460,empresa,"97016,83"
231,3820,ES8918933886052211057546,nómina,"83596,08"
232,1882,ES5419940246616121878468,empresa,"9927,93"
233,5018,ES5803144622485557776326,ahorro,"9630,95"
234,10041,ES3755697585800682251010,empresa,"8086,36"
235,5419,ES8617545723073379449835,nómina,"11956,16"
236,10834,ES1593437034885838521398,empresa,"34017,04"
237,7994,ES2996778944628917981160,empresa,"60376,94"
238,7061,ES8612375359720279002411,empresa,"87207,59"
239,7952,ES3189605965036877652046,nómina,"6521,05"
240,4012,ES4842510317696984970358,nómina,"73824,91"
241,4459,ES4889225467045857935895,empresa,"66884,45"
242,7192,ES6586179834337336134459,ahorro,"24053,23"
243,1951,ES1471167771098811350262,ahorro,"88499,86"
244,7803,ES1245965471545935778839,nómina,"40070,58"
245,2542,ES8473295897765712945807,nómina,"67890,91"
246,2027,ES9261249058694130660113,ahorro,"50798,32"
247,6661,ES6367833132393502863567,empresa,"6358,29"
248,8385,ES9182930191656891439169,nómina,"45533,87"
249,5596,ES9303633382675032121735,empresa,"71639,89"
250,1688,ES4770048478155621130438,ahorro,"52983,72"
251,9682,ES8145307650402211717204,nómina,"15054,89"
252,11385,ES5823656090925194976917,nómina,"67038,94"
253,1164,ES2481453154740364391778,empresa,"83317,09"
254,2720,ES9202698641569375394868,ahorro,"36483,87"
255,8136,ES4516430816307528574691,nómina,"84075,75"
256,6296,ES7415166035943476488802,nómina,"98070,65"
257,5041,ES6342939466569263996837,nómina,"4732,78"
258,10783,ES6130824907141141596267,empresa,"8766,66"
259,2677,ES1127775538498382034316,empresa,"67532,37"
260,11748,ES8459724300144637425660,nómina,"74850,98"
261,10304,ES7664229603653152281148,empresa,"83975,08"
262,12367,ES8668970495240036241540,ahorro,"41604,18"
263,2201,ES9436624783541223404718,ahorro,"20258,61"
264,2868,ES7806855744344109801464,ahorro,"51269,63"
265,603,ES7148735251410824747794,nómina,"45862,72"
266,1041,ES4437957281701767968954,empresa,"86994,91"
267,2475,ES8736607267514655247392,empresa,"56792,29"
268,7156,ES6410375134157006814484,nómina,"32190,63"
269,7670,ES5153530622553285342369,nómina,"71726,62"
270,6041,ES6425289232741175731646,nómina,89462
271,4601,ES8506082850552673416347,ahorro,"81516,74"
272,76,ES3662562645685242254025,empresa,"73496,08"
273,6208,ES3527545241635916970261,empresa,"23887,18"
274,12216,ES8710477261483742019491,ahorro,"17218,78"
275,3940,ES9453483157065041490617,empresa,"73711,94"
276,8226,ES3300589240088482527798,nómina,"70061,89"
277,1018,ES1479735295434977420164,empresa,"57821,53"
278,8165,ES5420447105972551566902,ahorro,"24243,45"
279,3489,ES3923948546164775445794,nómina,"60351,19"
280,11994,ES6142490180547683598540,ahorro,"72580,01"
281,1879,ES7093213234945481938137,nómina,"57870,32"
282,8140,ES4175625823743977052920,empresa,"27965,09"
283,7721,ES7687770214798921894440,ahorro,"62225,98"
284,6217,ES8556017135799410651236,ahorro,"34041,99"
285,11741,ES8720958853506710825142,empresa,"68787,54"
286,2170,ES2105759134942028055943,nómina,"50134,78"
287,2314,ES5130908425246336868340,ahorro,"61097,67"
288,10859,ES4067234269853706319762,ahorro,"81622,71"
289,1254,ES6962570619906885820986,nómina,"93816,89"
290,584,ES3784273305644930430496,nómina,"16076,66"
291,1942,ES6235671307712703320672,nómina,"92976,2"
292,6383,ES6990134204605790079682,empresa,"51271,49"
293,5525,ES7851630383151682219991,nómina,"30191,29"
294,8135,ES9717672239270674208216,empresa,"87525,4"
295,10803,ES8958021512458513542010,ahorro,"49420,89"
296,11483,ES7207791651190522371643,empresa,"15626,83"
297,5299,ES1664639024615294728487,ahorro,"5315,65"
298,2018,ES1986533641672365733198,empresa,"18896,09"
299,6542,ES5894942105284373848457,empresa,"10772,33"
300,10093,ES1151628293417542253683,nómina,"26726,57"
301,11394,ES9084342798409126624005,empresa,"98857,13"
302,5279,ES6834587614064229362868,nómina,"99190,7"
303,10444,ES8439790755110943182251,ahorro,"84146,8"
304,945,ES1757219948347077991309,ahorro,"17377,28"
305,9490,ES8938564046762538084356,nómina,"18489,08"
306,8880,ES1295215157163577787562,ahorro,"3133,72"
307,5386,ES1168671722459223605999,ahorro,"54892,82"
308,6440,ES6139167253054718077104,ahorro,"35385,14"
309,10789,ES8785505826287172681889,nómina,"68670,4"
310,10691,ES8283406470901079990641,ahorro,"1596,27"
311,1758,ES4084117212177482486759,nómina,"11491,85"
312,4019,ES4923134582243391957932,empresa,"58219,04"
313,12336,ES9719199243298999487006,empresa,"80664,01"
314,355,ES6031861774791408815147,nómina,"26328,16"
315,8600,ES1702426428407716588742,empresa,"52491,48"
316,9615,ES3698360515352171868957,ahorro,"15159,81"
317,5858,ES4088624260282278194557,empresa,"92316,02"
318,8854,ES4465976946931581997427,nómina,"96902,02"
319,4649,ES8137429025917367997078,empresa,"87599,36"
320,2713,ES5494564882741233570111,ahorro,"6452,64"
321,918,ES1800174363382284864615,nómina,"64229,03"
322,5484,ES3806976578600175008874,empresa,"58921,09"
323,10824,ES4177242346442715652387,ahorro,"41648,55"
324,5829,ES5045581480806061481409,empresa,"12046,8"
325,5105,ES7251224800383409673157,empresa,"84171,02"
326,7787,ES6479071382517664322863,empresa,"89827,42"
327,6731,ES2971718973129969900154,empresa,"24201,17"
328,2959,ES9863868446450274334028,empresa,"219,44"
329,8650,ES7657128446715062702043,nómina,"46822,76"
330,7922,ES4889428820205806911030,empresa,"10456,99"
331,11746,ES6787726929251319495883,empresa,"41400,21"
332,695,ES3366008108682050706754,ahorro,"95800,1"
333,4741,ES4939019174108678777057,nómina,"31893,87"
334,627,ES3354653116997430058996,ahorro,"85450,82"
335,1956,ES8472425753448588413748,ahorro,"56944,78"
336,2820,ES3827259968640208012292,empresa,"48641,68"
337,9934,ES2015357134903326225940,empresa,6858
338,10808,ES8878455056637469498372,nómina,"33590,34"
339,6651,ES2406461915993049331537,nómina,"87427,28"
340,8600,ES4785896679733093543569,nómina,"60354,25"
341,4809,ES1333196492504754122255,ahorro,"79875,35"
342,3328,ES4450401758785802844113,ahorro,"1834,31"
343,4243,ES5891506300610562696020,nómina,"75227,43"
344,3360,ES8153022009403716572458,nómina,"61412,22"
345,9407,ES5405634498600783021985,ahorro,"2004,6"
346,3578,ES1057673958877600464792,nómina,"22169,64"
347,12337,ES7020498142583400197326,empresa,"86043,85"
348,3644,ES2379499506320478587001,ahorro,"51751,38"
349,6928,ES1013066444009332856258,ahorro,"63500,66"
350,631,ES4716877112053374549249,nómina,"76456,04"
351,10445,ES6543236115110541116882,ahorro,"41514,39"
352,10698,ES1172178836215503766958,empresa,"8468,46"
