id,nombre,apellido,estado_civil,dni,nacionalidad,fecha_nacimiento,direccion,codigo_postal,provincia,telefono,email,es_moroso,profesion,salario,numero_cuenta,tipo_cuenta,saldo,antiguedad_cliente,genero
1,Isaac,Bas,Soltero,50803891L,Andorrana,1976-08-03,"Acceso de Lupe Alegre 4, Albacete, 49375",04461,Zaragoza,612998046,pepita46@example.net,False,Preparador y elaborador de tabaco y sus productos,"2982,68",ES3179968971026971199366,corriente,"71063,73",2021-10-30,Masculino
2,Sandalio,Fuentes,Divorciado,86252814P,Noruega,1978-05-08,"Cuesta de Teófilo Somoza 3 Puerta 8 , Huelva, 13547",05617,Soria,770595376,hcalatayud@example.com,False,"Gerente de sucursales de bancos, de servicios financieros y de seguros","5444,37",ES4882819013135814761921,corriente,"59066,89",2020-10-19,Masculino
3,Dorita,Tejera,Soltera,89546650Z,Argentina,1962-01-16,"Camino de Danilo Roldan 54 Puerta 7 , La Coruña, 11021",33705,Cádiz,664201115,julietapi@example.org,False,Peón de jardinería y horticultura,"3235,68",ES8896352888935177230208,corriente,"69020,29",2020-08-31,Femenino
4,Mario,Lopez,Soltero,79407181A,Armenia,1958-02-09,"Acceso Cebrián Balaguer 75 Piso 0 , Pontevedra, 03748",51941,Jaén,612845864,rinconirma@example.org,False,Vendedor de quioscos y de puestos de mercado,"3592,85",ES8080924363933477280294,corriente,"43431,75",2021-06-20,Masculino
5,Luciano,Osorio,Divorciado,11417891R,Croata,1987-02-23,"Calle de Obdulia Múñiz 89 Piso 1 , Almería, 37332",27760,Asturias,682543717,ciriaco75@example.net,False,Mecánico y reparador de máquinas agrícolas e industriales,"1302,73",ES9451266251700653094652,corriente,"24346,41",2020-09-10,Masculino
6,Wálter,Montalbán,Divorciado,93196282Y,Húngara,1998-06-03,"Cañada de Salud Santamaría 137, Vizcaya, 12760",20845,Navarra,730727011,marcelouria@example.net,False,Electrotécnico,"3685,31",ES7492374575991360775167,corriente,"57519,76",2020-10-01,Masculino
7,María Dolores,Benítez,Viuda,22176405N,Laosiana,1965-12-12,"C. de José Mari Bayón 224, Vizcaya, 05668",35760,Zaragoza,722025073,gracia77@example.org,False,Criador de ganado,"2253,91",ES3118205231192891810573,corriente,"66861,13",2024-08-02,Femenino
8,Amelia,Oliva,Soltera,46760463Z,Turca,1995-11-24,"Via Pilar Bartolomé 45, Santa Cruz de Tenerife, 35071",21251,Albacete,682853951,hcasanovas@example.com,False,Director de servicios de cuidados infantiles,"1689,58",ES6416024081228194166452,corriente,"42647,8",2023-06-06,Femenino
9,Begoña,Gonzalo,Casada,60889504V,Griega,1962-09-23,"Via Alfonso Vélez 82, Madrid, 34115",21580,Álava,674993716,torrentsadan@example.org,False,Profesor de música,"2877,94",ES3109342564636657014257,corriente,"58774,06",2022-07-03,Femenino
10,Flora,Manjón,Soltera,40179668W,Egipcia,1965-07-12,"Alameda de Nereida Téllez 6, Cádiz, 05917",08270,Murcia,658427502,rafaelarosa@example.org,False,Supervisor de tiendas y almacenes,"4174,24",ES2442547926852111787998,corriente,"53334,91",2020-10-14,Femenino
11,Miguel,Cantón,Divorciado,21701997W,Polaca,1946-03-31,"Vial Maite Calatayud 719, Albacete, 07140",15328,Ceuta,728835301,florlilia@example.net,False,Profesional de enfermería,"5971,49",ES1978307106192444035486,corriente,"56481,4",2021-07-15,Masculino
12,Leandro,Rivas,Divorciado,96725398W,India,1959-07-19,"Rambla José Rocamora 34 Apt. 51 , Jaén, 07338",24526,Huelva,766684630,noemi07@example.net,False,Tipógrafo,"6135,63",ES0423587370583894580247,corriente,"72029,58",2024-02-07,Masculino
13,Ámbar,Pinedo,Casada,30637542R,Iraquí,1949-11-27,"Avenida Artemio Goñi 41 Apt. 64 , Santa Cruz de Tenerife, 24909",11659,Huesca,734040769,hugo41@example.net,False,Profesional de nivel medio en actividades culturales y artísticas,"1202,42",ES6570873560390540619081,corriente,"66876,08",2018-11-18,Femenino
14,Che,Hierro,Viudo,82146911L,Chipriota,1955-08-31,"Paseo de Isidoro Morata 4 Apt. 56 , Asturias, 14826",38170,Teruel,697283531,iban76@example.net,False,Jefe de pequeñas poblaciones,"6655,48",ES3016387963705851553832,corriente,"50630,15",2020-04-12,Masculino
15,Bienvenida,Landa,Divorciada,63441497E,Árabe,1954-01-17,"Camino de Sabas Paredes 92 Piso 1 , Baleares, 11016",42120,Cáceres,695780226,ybartolome@example.com,False,Operador de máquinas de vapor y calderas,"3519,78",ES5985747728543251687646,corriente,"12231,63",2018-08-03,Femenino
16,Josefina,Ángel,Divorciada,58565486B,Malasia,1961-08-26,"Alameda de Dani Marin 82, Toledo, 48164",18261,Málaga,732481938,anunciacioncamino@example.net,False,Educador para necesidades especiales,"3752,28",ES2983029560352477248539,corriente,"45548,62",2024-06-13,Femenino
17,Sol,Vera,Divorciada,16545611D,Boliviana,1985-12-26,"Rambla de Calista Abascal 157, Huesca, 21153",16692,Almería,606740918,selenabermudez@example.org,False,Profesional de ventas técnicas y médicas,"5264,3",ES0596979072882930061217,corriente,"53123,16",2020-03-05,Femenino
18,Julieta,Bayón,Divorciada,72732231K,Bruneana,1996-04-20,"Paseo de Fito Landa 496, Teruel, 21428",27148,Sevilla,751658596,urbano87@example.org,False,Director de investigación y desarrollo,"3963,61",ES7157434122090906509784,corriente,"29138,32",2020-02-01,Femenino
19,Coral,Baró,Casada,47922947D,Malasia,1967-07-21,"Plaza Calisto Barral 11, Asturias, 34695",16597,Cuenca,720312264,igargallo@example.org,False,Profesional de nivel medio del derecho y servicios legales,"3852,59",ES9401791485052291875306,corriente,"95922,57",2020-01-07,Femenino
20,Vera,Suárez,Casada,73775454X,Belga,1961-01-29,"Via Cleto Rosa 76 Piso 0 , Almería, 27386",48724,Guipúzcoa,617302424,ibarragregorio@example.org,False,Minero,"2231,54",ES4063988246003478009217,corriente,"78498,8",2024-10-12,Femenino
